127.0.0.1, 2022-12-14 23:52:04, GET, /admin/default/design/pymedisenm, HTTP/1.1, 200, 0.604383
127.0.0.1, 2022-12-14 23:52:04, GET, /favicon.ico, HTTP/1.1, 400, 0.000998
127.0.0.1, 2022-12-14 23:52:06, GET, /pymedisenm/appadmin/index, HTTP/1.1, 500, 0.370565
127.0.0.1, 2022-12-14 23:52:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000998
127.0.0.1, 2022-12-14 23:52:07, GET, /admin/default/design/pymedisenm, HTTP/1.1, 200, 0.633512
127.0.0.1, 2022-12-14 23:52:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000997
127.0.0.1, 2022-12-14 23:52:35, GET, /pymedisenm/appadmin/index, HTTP/1.1, 500, 0.386964
127.0.0.1, 2022-12-14 23:52:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000997
127.0.0.1, 2022-12-14 23:53:18, GET, /pymedisenm/appadmin/, HTTP/1.1, 500, 0.373690
127.0.0.1, 2022-12-14 23:53:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000997
127.0.0.1, 2022-12-14 23:53:22, GET, /pymedisenm/appadmi, HTTP/1.1, 500, 0.377670
127.0.0.1, 2022-12-14 23:53:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000997
127.0.0.1, 2022-12-14 23:53:24, GET, /pymedisenm, HTTP/1.1, 500, 0.390404
127.0.0.1, 2022-12-14 23:53:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000998
127.0.0.1, 2022-12-14 23:53:29, GET, /, HTTP/1.1, 303, 0.002993
127.0.0.1, 2022-12-14 23:53:29, GET, /welcome/default/index, HTTP/1.1, 200, 0.132862
127.0.0.1, 2022-12-14 23:53:29, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000997
127.0.0.1, 2022-12-14 23:53:32, GET, /admin/default/site, HTTP/1.1, 200, 0.172538
127.0.0.1, 2022-12-14 23:53:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000997
127.0.0.1, 2022-12-14 23:53:34, GET, /pymedisenm/default/index, HTTP/1.1, 500, 0.381704
127.0.0.1, 2022-12-14 23:53:34, GET, /favicon.ico, HTTP/1.1, 400, 0.001025
127.0.0.1, 2022-12-14 23:53:35, GET, /admin/default/site, HTTP/1.1, 200, 0.173508
127.0.0.1, 2022-12-14 23:53:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000996
::1, 2022-12-14 23:53:43, GET, /, HTTP/1.1, 303, 0.000000
::1, 2022-12-14 23:53:44, GET, /welcome/default/index, HTTP/1.1, 200, 0.138628
::1, 2022-12-14 23:53:44, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.004986
::1, 2022-12-14 23:53:44, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.004986
